,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
99a20eff796594146e5b27ba8d5a2f7c,0,0,0,0,0,0,0,0,0,0,0,101,36,154,94
588462ad6bb433b91414b4d71e108d76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9b0ecbbc09b2eda88ed11a2228a0b687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34814817b7b4336c7e3440773fc968bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6a9f73af659f90dbf390313ffcb4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbfc6882dc7bbd4cd50e770553527ae6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
efeeb50a5b5aba0b195eab91d1687287,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0
7b6e68f05c55cfdaedfd31fef8d651dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a36592d3d8d504f0d69a28335c3088e,0,0,0,0,0,0,0,0,0,1914,0,0,0,0,0
4b6f2cd830c4458860bdcedefa6d480c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac6bcb59787382db3dbf8e6a4d453e9f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9b2b6434db22a4c08e3a3e11a6b974df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c85ffdc4d858f28239e93f2874c7cbab,0,84,34,64,0,0,0,0,0,0,0,72,103,116,80
0fb9dddaba7796aaecfb0e9ebcbac0a3,0,1,0,0,0,68,27,0,0,0,103,0,0,47,88
623f1630a850e126a09622faf86568b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
